Name,URL
Hashrocket,pass:[https://hashrocket.com/]
healthfinch,pass:[http://www.healthfinch.com/]
HealthSamurai,pass:[https://www.health-samurai.io]
Helpshift,pass:[https://www.helpshift.com/]
Hendrick Automotive Group,pass:[http://www.hendrickauto.com/]
Heroku,pass:[http://www.heroku.com]
Hexawise,pass:[https://hexawise.com/]
#Homescreen,pass:[https://homescreen.is/]
Huobi Global,pass:[https://www.huobi.com/]
IB5k,pass:[http://www.ib5k.com/]
ICM Consulting,pass:[https://icm-consulting.com.au/]
IG,pass:[http://labs.ig.com/]
Immute,pass:[https://immute.co/]
Indaba Music,pass:[https://indabamusic.com]
InnoQ,pass:[http://innoq.com]
instadeq,pass:[https://instadeq.com/]
Intent Media,pass:[http://www.intentmedia.com/]
InterWare,pass:[http://www.interware.com.mx/] and pass:[http://caudal.io/]
Intropica,pass:[http://www.intropica.com/]
Intuit,pass:[http://www.intuit.com]
iPlant Collaborative,pass:[http://www.iplantcollaborative.org/]
IRIS.TV,pass:[http://iris.tv/]
J.Crew,pass:[https://www.jcrew.com/]
JESI,pass:[https://jesi.io]
JUXT,pass:[http://juxt.pro]
Kane LPI,pass:[http://www.kane-group.com/]
Kasta,pass:[https://kasta.ua]
Kira,pass:[https://kirasystems.com/]
Klarna,pass:[https://klarna.com]
Knowledge E,pass:[http://knowledgee.com/]
Kodemaker,pass:[http://www.kodemaker.no/]
Kwelia,pass:[https://kwelia.com/]
Ladder,pass:[https://www.ladderlife.com]
Ladders,pass:[https://www.theladders.com/]
LambdaWerk,pass:[https://lambdawerk.com/]
Leancloud.cn,pass:[http://leancloud.cn]
Leanheat,pass:[http://en.leanheat.com]
Lemmings,pass:[https://lemmings.io]
LemonPI,pass:[https://www.lemonpi.io/]
LendUp,pass:[https://www.lendup.com/]
Level Money,pass:[http://levelmoney.com]
Lifebooker,pass:[http://www.lifebooker.com]
Liftoff,pass:[http://liftoff.io/]
LightMesh,pass:[http://lightmesh.com]
Likely,pass:[http://likely.co/]
LINE,pass:[https://line.me/]
LinguaTrip,pass:[https://fluent.express]
Linkfluence,pass:[http://linkfluence.com]
Listora,pass:[http://www.listora.com/]
LiveOps,pass:[http://www.liveops.com/]
LivingSocial,pass:[https://www.livingsocial.com/]
Localize.city,pass:[https://www.localize.city/]
Locarise,pass:[https://locarise.com/]
Logic Soft Pvt. Ltd.,pass:[http://logicsoft.co.in/]
LonoCloud (acquired by ViaSat),pass:[http://lonocloud.com/]
Loway,pass:[https://www.loway.ch/]
LunchBox Sessions,pass:[https://www.lunchboxsessions.com]
Macrofex,pass:[https://www.macrofex.com/]
MACROFEX LLC,pass:[http://www.macrofex.com]
Madriska Inc.,pass:[http://www.madriska.com/]
Magnet,pass:[http://www.magnet.coop/]
Main Street Genome,pass:[http://mainstreetgenome.com/]
Marktbauer/Comida da gente,pass:[http://www.comidadagente.org/]
Mastodon C,pass:[http://www.mastodonc.com/]
Mayvenn,pass:[mayvenn.com]
Mazira,pass:[https://mazira.com/]
MeeWee,pass:[http://meewee.com]
Merantix,pass:[https://www.merantix.com/]
Metabase,pass:[http://www.metabase.com/]
Metail,pass:[http://www.metail.com]
Metosin,pass:[http://metosin.fi/]
Minoro,pass:[http://minorodata.com/]
MixRadio,pass:[http://www.mixrad.io/]
modelogiq,pass:[http://www.modelogiq.com/]
Moleque de Ideias,pass:[http://www.molequedeideias.net/]
Motiva AI,pass:[https://www.motiva.ai/]
Mysema,pass:[http://www.mysema.com/]
nemCV.com,pass:[http://nemCV.com]
Netflix,pass:[https://www.netflix.com]
Neustar,pass:[https://www.neustar.biz/]
nexonit.com,pass:[nexonit.com]
NextAngles,pass:[http://www.nextangles.com]
Nextjournal,pass:[https://nextjournal.com/]
nilenso,pass:[http://nilenso.com/]
Nitor,pass:[https://www.nitor.com]
NLG,pass:[https://nederlandsegokkasten.com/]
NomNom Insights,pass:[https://nomnominsights.com]
Norled,pass:[https://www.norled.no/]
NowMedia Tech,pass:[http://lamuz.uz]
NSD - Norwegian Centre for Research Data,pass:[https://nsd.no]
Nubank,pass:[https://www.nubank.com.br/]
Nukomeet,pass:[https://nukomeet.com/]
Numerical Brass Computing,pass:[http://numerical.co.nz/]
Oche Dart,pass:[https://www.ochedart.com/]
Oiiku,pass:[https://oiiku.com]
OkLetsPlay,pass:[https://okletsplay.com/]
Omnyway Inc,pass:[http://www.omnyway.com/]
Ona,pass:[https://ona.io]
Onfido,pass:[https://onfido.com/gb/]
OnlineCasinoInformatie,pass:[https://onlinecasinoinformatie.com/]
OnTheMarket,pass:[http://www.onthemarket.com/]
OpenCompany,pass:[https://opencompany.com/]
OpenSensors.io,pass:[http://OpenSensors.io]
OpenTable,pass:[http://www.opentable.com/]
Oracle,pass:[http://www.oracle.com]
OrgSync,pass:[http://www.orgsync.com/]
Oscaro,pass:[https://www.oscaro.com/]
Otto,pass:[http://otto.de]
OurHub,pass:[http://ourhub.dk]
Outpace,pass:[http://www.outpace.com/]
Outpost Games,pass:[http://corp.outpostgames.com/]
Owsy,pass:[http://owsy.com]
Oyster Lab by Alpiq,pass:[https://oysterlab.ch]
PaddleGuru,pass:[http://paddleguru.com]
Panacea Systems,pass:[http://www.bdpanacea.com/]
Pandora,pass:[https://www.pandora.com/]
paper.li,pass:[http://paper.li]
ParcelBright,pass:[https://www.parcelbright.com/]
PartsBox,pass:[https://partsbox.io/]
PassivSystems,pass:[http://www.passivsystems.com/]
Path,pass:[http://path.com/]
PayGarden,pass:[http://paygarden.com]
Payoff,pass:[https://www.payoff.com/]
PennyMac,pass:[http://www.pennymacusa.com]
Pilloxa,pass:[https://pilloxa.com]
Pitch,pass:[https://pitch.com/]
Pivotal Labs,pass:[http://www.pivotal.io/]
PKC,pass:[https://www.pkc.io/]
Point Slope,pass:[http://www.pointslope.com]
Pol.is,pass:[https://pol.is/about/]
Postmark,pass:[http://dmarc.postmarkapp.com/]
Precursor,pass:[https://precursorapp.com/]
Premium Business Consultants BV,pass:[http://www.premium.nl/]
Prime.vc,pass:[http://prime.vc/]
Print.IO,pass:[http://www.print.io/]
projectmaterials.com,pass:[https://projectmaterials.com]
Projexsys,pass:[http://projexsys.com/]
ProtoPie,pass:[https://www.protopie.io/]
Publizr,pass:[https://publizr.com/]
Puppet Labs,pass:[http://puppetlabs.com/]
PurposeFly,pass:[https://www.purposefly.com/]
Quartet Health,pass:[https://quartethealth.com/]
Quintype,pass:[http://www.quintype.com/]
Qvantel,pass:[https://qvantel.com/]
Radiant Labs,pass:[http://www.radiantlabs.co]
RADIOactive,pass:[https://radioactive.sg]
Reaktor,pass:[http://reaktor.com/]
Red Hat,pass:[https://www.redhat.com/]
Red Pineapple Media,pass:[https://www.redpineapplemedia.com/]
Reify Health,pass:[https://www.reifyhealth.com/]
RentPath,pass:[http://rentpath.com/]
Rio de Janeiro Botanical Garden,"pass:[http://jbrj.gov.br/], pass:[http://cncflora.jbrj.gov.br/], pass:[https://biodivdev.github.io/]"
RJMetrics,pass:[http://rjmetrics.com/]
Rōmr,pass:[http://www.romr.com/]
Rocket Fuel,pass:[http://rocketfuel.com/]
ROKT,pass:[https://rokt.com/]
Room Key,pass:[http://www.roomkey.com/]
Roomstorm,pass:[http://roomstorm.com/]
Rowdy Labs,pass:[https://www.rowdylabs.com]
ROXIMITY,pass:[http://roximity.com/]
RTS,pass:[https://www.rts.ch/info]
Salesforce,pass:[http://www.salesforce.com/]
Sallie Mae,pass:[https://www.salliemae.com/]
SAP,pass:[https://www.sap.com]
SAP Concur,pass:[https://www.concur.com/]
Sapiens Sapiens,pass:[http://www.twitter-fu.com/]
Schibsted,pass:[https://www.schibsted.com/]
Shareablee,pass:[http://www.shareablee.com/]
Sharetribe,pass:[https://sharetribe.com/]
shore.li,pass:[http://shore.li/]
Signafire,pass:[http://www.signafire.com]
Signal,pass:[http://signal.uk.com/]
Siili Solutions,pass:[https://www.siili.com/]
Silicon Valley Bank,pass:[http://docs.svbplatform.com/]
Silverline Mobile,pass:[http://silverline.mobi/]
Silverpond,pass:[http://www.silverpond.com.au/]
Simple,pass:[https://www.simple.com/]
Simply,pass:[https://www.simply.co.za]
Sinapsi,pass:[http://www.sinapsi.com/]
SIOS Technology Corp.,pass:[http://us.sios.com/]
SixSq,pass:[https://sixsq.com/]
Smilebooth,pass:[http://smilebooth.com/]
SMX,pass:[http://smxemail.com/]
Social Superstore,pass:[https://socialsuperstore.com/]
Solita,pass:[https://www.solita.fi/]
Sonian,pass:[http://sonian.com/]
Soundcloud,pass:[https://soundcloud.com]
SoYouLearn,pass:[https://www.soyoulearn.com/]
SparkFund,pass:[https://www.sparkfund.co/]
Spinney,pass:[http://www.spinney.io/]
Spotify,pass:[https://www.spotify.com]
Staples Exchange,pass:[https://exchange.staples.com/]
Staples Sparx,pass:[http://www.staples]-sparx.com/
Starcity,pass:[https://starcity.com/careers]
Status,pass:[https://status.im/]
Status Research & Development GmbH,pass:[http://status.im]
Stitch,pass:[https://www.stitchdata.com/]
Structured Dynamics,pass:[http://structureddynamics.com/]
Studio71,pass:[https://www.studio71.com/us/]
Studyflow,pass:[http://www.studyflow.nl]
Stylitics,pass:[http://about.stylitics.com/]
Suiteness,pass:[https://www.suiteness.com/contact_us]
Suprematic,pass:[http://www.suprematic.net/]
SwiftKey (Microsoft),pass:[https://swiftkey.com/]
Swirrl,pass:[http://swirrl.com/]
Synple,pass:[https://synple.eu/en/index]
Synqrinus,pass:[http://www.synqrinus.com/]
Takeoff Technologies,pass:[https://takeoff.com]
TalentAds,pass:[http://talentads.net/]
Tapp Commerce,pass:[http://www.tappcommerce.com/]
TCGplayer,pass:[https://www.tcgplayer.com/]
TechnoIdentity,pass:[http://www.technoidentity.com/]
Teradata,pass:[http://www.teradata.com]
Test Double,pass:[http://testdouble.com/]
The Climate Corporation,pass:[https://climate.com/]
ThinkTopic,pass:[http://www.thinktopic.com/]
Thinstripe,pass:[https://github.com/thinstripe]
ThoughtWorks,pass:[http://www.thoughtworks.com/]
ThreatGRID (acquired by Cisco),pass:[http://www.threatgrid.com/]
TODAQ Financial,pass:[https://www.todaqfinance.com/]
TokenMill,pass:[http://www.tokenmill.co/]
Tool2Match,pass:[https://www.tool2match.nl]
TopMonks,pass:[https://www.topmonks.com/]
TouK,pass:[https://touk.pl]
Trainline,pass:[https://www.thetrainline.com/]
T-Rank,pass:[https://trank.no/]
TriOptima,pass:[http://www.trioptima.com/]
Troy-West,pass:[https://www.troywest.com/]
Trucker Path,pass:[https://truckerpath.com]
Two Sigma,pass:[http://www.twosigma.com/]
Udviklings- og forenklingsstyrelsen,pass:[https://www.ufst.dk]
Unacast,pass:[https://unacast.com/]
Unbounce,pass:[http://unbounce.com/]
Unfold,pass:[https://unfold.com/]
University Health Network,pass:[http://www.uhn.ca/]
University Leipzig - Research Centre for Civilization Diseases (LIFE),pass:[http://life.uni-leipzig.de]
UpLift,pass:[https://www.uplift.com]
Upworthy,pass:[http://www.upworthy.com/]
Urban Dictionary,pass:[https://www.urbandictionary.com]
Ustream,pass:[http://ustream.tv/]
uSwitch,pass:[http://www.uswitch.com/]
VakantieDiscounter,pass:[https://vakantiediscounter.nl]
Veltio,pass:[http://veltio.com.br]
Very,pass:[https://www.verypossible.com]
VeryBigThings,pass:[https://verybigthings.com]
Viasat,pass:[https://viasat.com/]
Vigiglobe,pass:[http://vigiglobe.com/]
Vilect,pass:[https://www.vilect.ai/]
Vire,pass:[https://storrito.com]
Virool,pass:[https://www.virool.com/]
Vital Labs,pass:[http://vitallabs.co/]
Vodori,pass:[https://www.vodori.com]
Walmart Labs,pass:[http://www.walmartlabs.com/]
Weave,pass:[https://weave.fi/]
WeFarm,pass:[http://wefarm.org]
WeShop,pass:[https://weshop.co.uk]
Whibse,pass:[https://www.whibse.com]
Whitepages,pass:[https://pro.whitepages.com/]
Wikidocs (acquired by Atlassian),pass:[http://wikidocs.com/]
Wildbit,pass:[http://wildbit.com/]
Wit.ai (acquired by Facebook),pass:[http://wit.ai]
Work & Co,pass:[https://work.co]
work.co,pass:[https://work.co/]
Workframe,pass:[https://workframe.com/]
Workinvoice,pass:[http://www.workinvoice.it/]
WorksHub,pass:[https://functionalworks.com]
World Singles,pass:[http://worldsingles.com/]
Xapix GmbH,pass:[https://www.xapix.io/]
"Xcoo, Inc.",pass:[https://xcoo.jp/]
XN Logic,pass:[http://xnlogic.com]
Yeller,pass:[http://yellerapp.com/]
Yet Analytics,pass:[http://yetanalytics.com/]
Yieldbot,pass:[http://www.yieldbot.com]
Yousee IT Innovation Labs,pass:[http://yousee.dk/]
YouView,pass:[https://www.youview.com/]
Yummly,pass:[http://www.yummly.com/]
Yuppiechef,pass:[http://www.yuppiechef.com/]
Zalando,pass:[http://tech.zalando.com] and pass:[https://zalando.github.io/]
Zendesk,pass:[http://www.zendesk.com]
Zen Finance,pass:[https://www.zenfinance.com.br/]
Zimpler,pass:[https://www.zimpler.com/]
Zoona,pass:[https://ilovezoona.com/]
